Product_Price,Order_Quantity,Discount_Applied,Total_Order_Value,Discount_Percentage,Price_Per_Item,Discount_Per_Item,Value_To_Discount_Ratio,User_Age,Order_Month,Order_Day,Order_DayOfWeek,Order_Quarter,Order_IsWeekend,Days_Since_Start,High_Discount_Flag,High_Value_Flag,High_Quantity_Flag,Young_User_Flag,Senior_User_Flag,Premium_Product_Flag,Low_Price_Flag,Product_Category_Encoded,User_Gender_Encoded,User_Location_Encoded,Payment_Method_Encoded,Shipping_Method_Encoded,Price_Range_Encoded,Quantity_Category_Encoded,Age_Group_Encoded,Target
411.59,3,45.27,1234.77,3.666269831628563,137.19666666666666,15.090000000000002,27.27567925778661,58,8,5,5,3,1,216,0,1,0,0,0,0,0,1,1,50,1,1,0,0,2,1
288.88,3,47.79,866.64,5.514400443090556,96.29333333333334,15.93,18.134337727558066,68,10,9,0,4,0,281,0,0,0,0,1,0,0,0,0,84,0,0,2,0,2,0
390.03,5,26.64,1950.1499999999999,1.3660487654795785,78.006,5.328,73.20382882882882,22,5,6,5,2,1,125,0,1,1,1,0,0,0,4,0,24,1,1,2,1,3,0
401.09,3,15.37,1203.27,1.2773525476410115,133.69666666666666,5.123333333333333,78.28692257644762,40,8,29,3,3,0,606,0,1,0,0,0,0,0,4,1,95,3,1,0,0,1,0
110.09,4,16.37,440.36,3.7174130257062408,27.5225,4.0925,26.90042761148442,34,1,16,0,1,0,15,0,0,0,0,0,0,1,0,0,79,2,2,1,1,0,0
252.12,1,47.61,252.12,18.883864826273204,252.12,47.61,5.295526149968494,46,2,14,2,1,0,409,0,0,0,0,0,0,0,2,0,42,1,1,2,2,1,1
382.89,2,28.49,765.78,3.720389668050876,191.445,14.245,26.87890487890488,25,5,29,0,2,0,148,0,1,0,1,0,0,0,1,1,46,0,0,2,0,3,1
306.39,3,38.91,919.17,4.233166878814583,102.13,12.969999999999999,23.622976098689286,67,2,9,3,1,0,39,0,0,0,0,1,0,0,2,0,33,0,0,2,0,2,0
302.4,5,18.5,1512.0,1.2235449735449735,60.48,3.7,81.72972972972973,54,12,25,2,4,0,724,0,0,1,0,0,0,0,3,1,80,1,2,2,1,2,0
294.94,3,45.21,884.8199999999999,5.109513799416831,98.31333333333333,15.07,19.571333775713335,44,3,10,4,1,0,68,0,0,0,0,0,0,0,1,1,81,0,2,2,0,1,0
119.0,2,8.72,238.0,3.663865546218488,59.5,4.36,27.293577981651374,70,5,26,6,2,1,511,0,0,0,0,1,0,1,4,0,36,0,1,1,0,2,1
480.48,4,0.27,1921.92,0.01404845154845155,120.12,0.0675,7118.222222222222,54,2,8,3,1,0,403,0,1,0,0,0,0,0,3,1,15,2,1,0,1,2,0
216.41,3,30.26,649.23,4.660905996334119,72.13666666666667,10.086666666666668,21.45505617977528,66,6,7,4,2,0,523,0,0,0,0,1,0,0,4,1,9,3,2,2,0,2,0
198.78,2,36.58,397.56,9.20112687393098,99.39,18.29,10.868234007654456,51,7,22,5,3,1,202,0,0,0,0,0,0,1,2,1,84,3,1,1,0,2,1
146.37,4,28.23,585.48,4.821684771469563,36.5925,7.0575,20.739638682252924,45,9,1,6,3,1,609,0,0,0,0,0,0,1,2,1,89,3,1,1,1,1,1
370.08,2,23.99,740.16,3.2411910938175525,185.04,11.995,30.8528553563985,24,10,2,2,4,0,640,0,0,0,1,0,0,0,2,0,20,0,2,2,0,3,1
311.08,1,6.66,311.08,2.140928378552141,311.08,6.66,46.708708708708706,52,5,9,3,2,0,494,0,0,0,0,0,0,0,1,0,75,3,2,2,2,2,1
400.12,1,18.25,400.12,4.561131660501849,400.12,18.25,21.924383561643836,33,2,3,4,1,0,33,0,1,0,0,0,0,0,2,1,27,3,2,0,2,0,0
358.31,1,11.84,358.31,3.304401216823421,358.31,11.84,30.26266891891892,51,10,7,0,4,0,645,0,0,0,0,0,0,0,0,0,38,3,2,2,2,2,0
227.94,5,43.86,1139.7,3.8483811529349827,45.588,8.772,25.98495212038304,50,7,6,5,3,1,552,0,0,1,0,0,0,0,2,0,61,1,0,2,1,1,0
6.14,1,47.47,6.14,773.127035830619,6.14,47.47,0.12934484937855487,31,7,3,0,3,0,183,1,0,0,0,0,0,1,1,0,68,0,1,1,2,0,1
85.69,2,24.58,171.38,14.34239701248687,42.845,12.29,6.97233523189585,30,2,28,2,1,0,423,0,0,0,0,0,0,1,0,0,19,1,2,1,0,0,1
227.2,5,27.94,1136.0,2.459507042253521,45.44,5.588,40.658554044380814,65,7,13,5,3,1,559,0,0,1,0,1,0,0,0,0,90,2,1,2,1,2,0
57.14,2,43.06,114.28,37.67938396919846,28.57,21.53,2.6539712029725964,41,7,1,0,3,0,547,0,0,0,0,0,0,1,2,0,21,2,2,1,0,1,0
