Feature,Importance
Product_Category_Encoded,0.11733945
Young_User_Flag,0.07719592
Discount_Per_Item,0.054372698
Senior_User_Flag,0.052699946
Product_Price,0.046674337
Order_Quantity,0.046113573
Price_Per_Item,0.04581406
Discount_Percentage,0.045078177
Price_Range_Encoded,0.040788345
User_Age,0.03798399
Shipping_Method_Encoded,0.037012786
Order_IsWeekend,0.036994882
Order_Month,0.03398082
Total_Order_Value,0.033634186
Value_To_Discount_Ratio,0.031199533
Age_Group_Encoded,0.031123478
Quantity_Category_Encoded,0.031048354
Payment_Method_Encoded,0.027132712
Days_Since_Start,0.026807392
User_Gender_Encoded,0.02594757
Order_Quarter,0.025560617
User_Location_Encoded,0.024993103
Discount_Applied,0.024290059
Order_DayOfWeek,0.023857517
Order_Day,0.02235663
High_Value_Flag,0.0
High_Quantity_Flag,0.0
Premium_Product_Flag,0.0
Low_Price_Flag,0.0
High_Discount_Flag,0.0
