Feature,Importance
Value_To_Discount_Ratio,0.038381446
Discount_Per_Item,0.035921313
Discount_Percentage,0.03537228
Order_DayOfWeek,0.035033256
Price_Per_Item,0.03473588
Total_Order_Value,0.034460418
Price_X_Discount_Pct,0.034443267
User_Location_Encoded,0.03402644
Discount_Applied,0.03401486
Product_Price,0.033901308
Order_Month,0.03373984
Age_Group_Encoded,0.033389546
Order_Day,0.03327306
User_Age,0.033198997
Days_Since_Start,0.033186954
Age_X_Price,0.032671817
Price_X_Quantity,0.030557027
Senior_User_Flag,0.03043948
Product_Category_Encoded,0.03011181
Multiple_Risk_Flags,0.02981262
Low_Price_Flag,0.029778885
Price_Range_Encoded,0.029258577
Shipping_Method_Encoded,0.029005753
Payment_Method_Encoded,0.028704146
Is_Summer,0.02800351
Order_Year,0.026896076
User_Gender_Encoded,0.026190823
Young_User_Flag,0.025172727
Order_Quantity,0.024369678
Quantity_Category_Encoded,0.023862096
Order_Quarter,0.021959165
Is_Holiday_Season,0.020454645
Order_IsWeekend,0.015672248
Premium_Product_Flag,0.0
High_Risk_Combo,0.0
High_Quantity_Flag,0.0
High_Value_Flag,0.0
High_Discount_Flag,0.0
